Stats
CPU,Threads,Memory,Framework
5.1,9,2336.0,Perfect
5.0,9,2336.0,Perfect
5.1,9,2336.0,Perfect
5.1,10,2348.0,Perfect
5.1,10,2348.0,Perfect
5.1,10,2348.0,Perfect
4.9,10,2348.0,Perfect
5.1,10,2348.0,Perfect
4.5,10,2344.0,Perfect
6.2,11,2368.0,Perfect
5.2,11,2368.0,Perfect
5.3,11,2368.0,Perfect
5.2,11,2368.0,Perfect
5.2,11,2368.0,Perfect
5.3,11,2368.0,Perfect
5.1,9,2352.0,Perfect
5.2,9,2352.0,Perfect
5.2,9,2352.0,Perfect
4.4,9,2352.0,Perfect
3.7,9,2352.0,Perfect
4.9,8,2336.0,Perfect
4.8,8,2336.0,Perfect
5.0,8,2340.0,Perfect
5.1,8,2340.0,Perfect
5.2,8,2340.0,Perfect
5.1,8,2340.0,Perfect
5.2,8,2340.0,Perfect
5.1,8,2340.0,Perfect
4.5,8,2340.0,Perfect
5.2,8,2340.0,Perfect
5.0,8,2340.0,Perfect
5.2,8,2340.0,Perfect
5.1,10,2352.0,Perfect
5.1,10,2352.0,Perfect
5.2,10,2352.0,Perfect
5.2,10,2364.0,Perfect
5.1,10,2364.0,Perfect
4.8,10,2364.0,Perfect
4.6,10,2364.0,Perfect
6.2,10,2364.0,Perfect
5.2,10,2364.0,Perfect
5.3,10,2364.0,Perfect
5.1,10,2364.0,Perfect
5.3,10,2360.0,Perfect
4.8,10,2360.0,Perfect
4.9,10,2360.0,Perfect
5.1,10,2360.0,Perfect
5.1,10,2360.0,Perfect
4.7,10,2360.0,Perfect
3.8,10,2360.0,Perfect
5.0,10,2360.0,Perfect
5.0,10,2360.0,Perfect
5.1,10,2364.0,Perfect
5.1,10,2364.0,Perfect
5.0,10,2364.0,Perfect
4.9,10,2364.0,Perfect
5.1,10,2364.0,Perfect
5.0,10,2364.0,Perfect
4.7,10,2364.0,Perfect
5.2,10,2364.0,Perfect
5.1,10,2368.0,Perfect
5.2,10,2368.0,Perfect
5.2,10,2368.0,Perfect
5.2,10,2368.0,Perfect
5.2,10,2368.0,Perfect
5.1,10,2372.0,Perfect
5.2,10,2372.0,Perfect
4.9,10,2376.0,Perfect
4.7,9,2360.0,Perfect
5.2,9,2360.0,Perfect
6.2,9.0,2360.0,Perfect
5.3,9,2360.0,Perfect
5.3,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.3,9,2360.0,Perfect
5.1,9,2360.0,Perfect
4.9,9,2360.0,Perfect
4.6,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.1,9,2360.0,Perfect
5.0,9,2360.0,Perfect
5.1,10,2372.0,Perfect
5.2,10,2372.0,Perfect
1.8,10,2372.0,Perfect
0.0,10,2372.0,Perfect
0.0,10,2372.0,Perfect
0.0,10,2372.0,Perfect
0.0,10,2372.0,Perfect
0.1,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,3,2304.0,Perfect
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
0.0,2,2520.0,Vapor
